order_id,customer,category,order_value,is_cod,past_orders,hist_return_rate,days_since_signup,prior_disputes,device_ip_mismatch,night_order,coupon_used,delivery_pincode_risk,returned
ORD-10000,Aryan Maharaj,Home & Kitchen,2554.27,1,14,0.323,15,1,0,0,0,0.336,0
ORD-10001,Udant Dewan,Mobiles,4022.09,1,15,0.494,144,0,0,1,1,0.264,1
ORD-10002,Gagan Sami,Electronics,6787.82,1,9,0.316,293,0,0,0,1,0.373,1
ORD-10003,Ayushman Chander,Beauty,3612.71,1,19,0.205,62,0,0,0,0,0.17,1
ORD-10004,Viraj Tiwari,Mobiles,3292.73,1,4,0.259,136,0,1,1,0,0.35,1
ORD-10005,Rushil Saini,Beauty,2892.13,0,13,0.155,25,1,0,0,0,0.184,0
ORD-10006,Saumya Mall,Mobiles,1736.07,0,16,0.339,110,0,0,0,0,0.254,1
ORD-10007,Nathaniel Sami,Electronics,1446.99,1,10,0.244,68,1,1,0,1,0.448,1
ORD-10008,Arunima Dugal,Home & Kitchen,10758.72,1,14,0.572,213,0,0,0,1,0.567,0
ORD-10009,Gayathri Chaudry,Home & Kitchen,7667.78,0,10,0.486,216,1,0,0,1,0.236,1
ORD-10010,Lajita Chatterjee,Mobiles,3241.85,0,8,0.374,80,0,0,0,0,0.368,0
ORD-10011,Hemangini Lalla,Electronics,8147.96,1,5,0.177,66,0,0,0,1,0.302,0
ORD-10012,Tripti Yadav,Mobiles,3404.65,1,13,0.31,145,0,0,0,0,0.332,0
ORD-10013,Kritika Brar,Fashion,2485.99,1,28,0.276,97,0,0,0,0,0.217,0
ORD-10014,Janaki Handa,Fashion,3578.93,1,13,0.088,168,0,0,0,1,0.1,1
ORD-10015,Chakradev Kari,Electronics,2197.66,0,16,0.268,52,0,0,0,1,0.205,0
ORD-10016,Fariq Kaul,Mobiles,4000.87,0,4,0.292,544,0,0,0,1,0.202,0
ORD-10017,Lajita Mall,Home & Kitchen,3500.42,0,4,0.022,15,0,0,0,1,0.505,0
ORD-10018,Janya Gaba,Fashion,6042.06,0,10,0.133,78,0,0,0,0,0.261,0
ORD-10019,Isha Kadakia,Mobiles,2157.99,0,15,0.485,213,0,0,0,0,0.588,1
ORD-10020,Ekbal Garg,Beauty,4910.67,0,6,0.253,217,2,0,0,1,0.088,1
ORD-10021,Nihal Shere,Electronics,2243.1,0,3,0.42,87,0,0,0,0,0.379,1
ORD-10022,Anamika Kanda,Mobiles,2067.51,0,29,0.453,52,0,1,0,1,0.252,1
ORD-10023,Daksh Karnik,Beauty,2300.96,1,4,0.03,162,0,0,0,1,0.088,0
ORD-10024,Diya Rattan,Fashion,6529.52,1,2,0.192,119,0,0,0,1,0.393,1
ORD-10025,Dominic Kakar,Mobiles,5705.61,0,21,0.392,683,0,0,0,1,0.153,1
ORD-10026,Simon Tata,Fashion,20190.64,0,14,0.273,768,0,0,0,1,0.083,0
